Recipient,Category,Grant,FY14
Darien,Property Tax,State Property PILOT,97209.14
Darien,Property Tax,Veterans' Exemption,2190.93
Darien,Property Tax,Disability Exemption,185.66
Darien,Property Tax,Pequot Grants,7521
Darien,Property Tax,Grants For Municipal Projects,0
Darien,Capital Projects/Transportation,LoCIP,110587
Darien,Capital Projects/Transportation,Town Aid Road,334138.43
Canaan,Education,School Construction,22320.18
Canaan,Education,Education Cost Sharing,209258
Canaan,Education,Public School Transportation,2399
Canaan,Education,Youth Service Bureaus,33265
Canaan,Property Tax,Colleges &amp; Hospitals PILOT,2026.71
Canaan,Property Tax,Elderly Circuit Breaker,13915.41
Canaan,Property Tax,State Property PILOT,94741.8
Canaan,Property Tax,Veterans' Exemption,1397.79
Canaan,Property Tax,Disability Exemption,75.77
Canaan,Property Tax,Pequot Grants,7196.55
Canaan,Property Tax,Grants For Municipal Projects,19480
Canaan,Capital Projects/Transportation,LoCIP,19505
Canaan,Capital Projects/Transportation,Town Aid Road,169373.59
Redding,Education,Magnet Schools,18200
Redding,Education,Excess Cost- Student Based,234436
Redding,Education,Education Cost Sharing,677373
Redding,Education,Public School Transportation,290
Redding,Education,Adult Education,443
Redding,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),342000
Redding,Capital Projects/Transportation,LoCIP,69029
Redding,Capital Projects/Transportation,Town Aid Road,268517.61
Redding,Capital Projects/Transportation,Urban Action Grants,2000000
Redding,Capital Projects/Transportation,Bus Operations,6000
Redding,Property Tax,Elderly Circuit Breaker,23510.11
Redding,Property Tax,State Property PILOT,172867.65
Redding,Property Tax,Veterans' Exemption,1273.21
Redding,Property Tax,Disability Exemption,280.58
Redding,Property Tax,Pequot Grants,9432.56
Redding,Property Tax,Grants For Municipal Projects,1250
Sherman,Education,Excess Cost- Student Based,108094
Sherman,Education,Education Cost Sharing,246314
Sherman,Education,Public School Transportation,3303
Sherman,Education,Adult Education,264
Sherman,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),205000
Sherman,Capital Projects/Transportation,LoCIP,26721
Sherman,Capital Projects/Transportation,Town Aid Road,204655.53
Sherman,Capital Projects/Transportation,Bus Operations,14750
Sherman,Property Tax,Elderly Circuit Breaker,19240.7
Sherman,Property Tax,State Property PILOT,12.3
Sherman,Property Tax,Veterans' Exemption,1374.72
Sherman,Property Tax,Disability Exemption,133.6
Sherman,Property Tax,Pequot Grants,8184.19
Sherman,Property Tax,Grants For Municipal Projects,0
Andover,Education,Excess Cost- Student Based,132562
Andover,Education,Education Cost Sharing,2372111
Andover,Education,Public School Transportation,17643
Andover,Property Tax,Elderly Circuit Breaker,12524.24
Andover,Property Tax,State Property PILOT,18766.88
Andover,Property Tax,Veterans' Exemption,1268.23
Andover,Property Tax,Disability Exemption,433.77
Andover,Property Tax,Pequot Grants,14230.32
Andover,Property Tax,Grants For Municipal Projects,2464
Andover,Capital Projects/Transportation,LoCIP,27906
Andover,Capital Projects/Transportation,Town Aid Road,190432.3
Andover,Capital Projects/Transportation,Bus Operations,11511.75
Woodbury,Education,Education Cost Sharing,919642
Woodbury,Property Tax,Elderly Circuit Breaker,50975.72
Woodbury,Property Tax,State Property PILOT,521.62
Woodbury,Property Tax,Veterans' Exemption,2065.86
Woodbury,Property Tax,Disability Exemption,841.81
Woodbury,Property Tax,Pequot Grants,17369.39
Woodbury,Property Tax,Grants For Municipal Projects,53522
Woodbury,Capital Projects/Transportation,LoCIP,78343
Woodbury,Capital Projects/Transportation,Town Aid Road,296362.61
Washington,Education,Education Cost Sharing,240147
Washington,Property Tax,Elderly Circuit Breaker,23404.17
Washington,Property Tax,State Property PILOT,31545
Washington,Property Tax,Veterans' Exemption,1078.46
Washington,Property Tax,Disability Exemption,134.58
Washington,Property Tax,Pequot Grants,7331.4
Washington,Property Tax,Grants For Municipal Projects,149
Washington,Capital Projects/Transportation,LoCIP,52181
Washington,Capital Projects/Transportation,Town Aid Road,328600.95
Warren,Education,Education Cost Sharing,99777
Warren,Property Tax,Elderly Circuit Breaker,10797.33
Warren,Property Tax,State Property PILOT,12891.8
Warren,Property Tax,Veterans' Exemption,1275.79
Warren,Property Tax,Disability Exemption,48.99
Warren,Property Tax,Pequot Grants,6585.41
Warren,Property Tax,Grants For Municipal Projects,271
Warren,Capital Projects/Transportation,LoCIP,21849
Warren,Capital Projects/Transportation,Town Aid Road,181643.28
Union,Education,Education Cost Sharing,241485
Union,Education,Public School Transportation,9420
Union,Education,Adult Education,1502
Union,Property Tax,Elderly Circuit Breaker,1342.37
Union,Property Tax,State Property PILOT,28808.98
Union,Property Tax,Veterans' Exemption,419.39
Union,Property Tax,Disability Exemption,21.47
Union,Property Tax,Pequot Grants,22341.05
Union,Property Tax,Grants For Municipal Projects,0
Union,Capital Projects/Transportation,LoCIP,15057
Union,Capital Projects/Transportation,Town Aid Road,124731.93
Southbury,Education,Education Cost Sharing,2572079
Southbury,Property Tax,Elderly Circuit Breaker,195937.52
Southbury,Property Tax,State Property PILOT,269239.25
Southbury,Property Tax,Veterans' Exemption,15147.82
Southbury,Property Tax,Disability Exemption,1494
Southbury,Property Tax,Pequot Grants,36930.01
Southbury,Property Tax,Grants For Municipal Projects,19733
Southbury,Capital Projects/Transportation,LoCIP,131719
Southbury,Capital Projects/Transportation,Town Aid Road,379452.79
Southbury,Capital Projects/Transportation,Bus Operations,43844
Roxbury,Education,Education Cost Sharing,158114
Roxbury,Property Tax,Elderly Circuit Breaker,13413.07
Roxbury,Property Tax,State Property PILOT,3862.42
Roxbury,Property Tax,Veterans' Exemption,516.39
Roxbury,Property Tax,Disability Exemption,105.46
Roxbury,Property Tax,Pequot Grants,6297.96
Roxbury,Property Tax,Grants For Municipal Projects,566
Roxbury,Capital Projects/Transportation,LoCIP,36013
Roxbury,Capital Projects/Transportation,Town Aid Road,336540.2
Durham,Education,Education Cost Sharing,3990500
Durham,Education,Youth Service Bureaus,18937
Durham,Property Tax,Elderly Circuit Breaker,41040.32
Durham,Property Tax,State Property PILOT,18142.41
Durham,Property Tax,Veterans' Exemption,13617.72
Durham,Property Tax,Disability Exemption,863.27
Durham,Property Tax,Pequot Grants,21968.35
Durham,Property Tax,Grants For Municipal Projects,144740
Durham,Capital Projects/Transportation,LoCIP,54147
Durham,Capital Projects/Transportation,Town Aid Road,223216.99
Cornwall,Education,Education Cost Sharing,86841
Cornwall,Education,Public School Transportation,289
Cornwall,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),100000
Cornwall,Capital Projects/Transportation,LoCIP,32673
Cornwall,Capital Projects/Transportation,Town Aid Road,223284.27
Cornwall,Property Tax,Elderly Circuit Breaker,13633.65
Cornwall,Property Tax,State Property PILOT,18084.84
Cornwall,Property Tax,Veterans' Exemption,443.62
Cornwall,Property Tax,Disability Exemption,120.98
Cornwall,Property Tax,Pequot Grants,6467.25
Cornwall,Property Tax,Grants For Municipal Projects,0
Burlington,Education,Education Cost Sharing,4376480
Burlington,Property Tax,Elderly Circuit Breaker,40433.06
Burlington,Property Tax,State Property PILOT,50286.29
Burlington,Property Tax,Veterans' Exemption,1390.84
Burlington,Property Tax,Disability Exemption,411.9
Burlington,Property Tax,Pequot Grants,19893.31
Burlington,Property Tax,Grants For Municipal Projects,14390
Burlington,Capital Projects/Transportation,LoCIP,74146
Burlington,Capital Projects/Transportation,Town Aid Road,258593.95
Burlington,Capital Projects/Transportation,Urban Action Grants,1000000
Burlington,Capital Projects/Transportation,Bus Operations,20717
Bridgewater,Education,Education Cost Sharing,137292
Bridgewater,Property Tax,Elderly Circuit Breaker,14710.85
Bridgewater,Property Tax,State Property PILOT,1321.26
Bridgewater,Property Tax,Veterans' Exemption,1873.92
Bridgewater,Property Tax,Disability Exemption,107.93
Bridgewater,Property Tax,Pequot Grants,6770.44
Bridgewater,Property Tax,Grants For Municipal Projects,552
Bridgewater,Capital Projects/Transportation,LoCIP,23733
Bridgewater,Capital Projects/Transportation,Town Aid Road,178981.68
Bridgewater,Capital Projects/Transportation,Bus Operations,9380
Bethlehem,Education,Education Cost Sharing,1318800
Bethlehem,Property Tax,Elderly Circuit Breaker,31587.3
Bethlehem,Property Tax,State Property PILOT,1114.59
Bethlehem,Property Tax,Veterans' Exemption,3410.34
Bethlehem,Property Tax,Disability Exemption,108.37
Bethlehem,Property Tax,Pequot Grants,12917.32
Bethlehem,Property Tax,Grants For Municipal Projects,7472
Bethlehem,Capital Projects/Transportation,LoCIP,34040
Bethlehem,Capital Projects/Transportation,Town Aid Road,214555.96
Bethlehem,Capital Projects/Transportation,Bus Operations,12831
Beacon Falls,Education,Education Cost Sharing,4120120
Beacon Falls,Property Tax,Elderly Circuit Breaker,51758.7
Beacon Falls,Property Tax,State Property PILOT,45746.75
Beacon Falls,Property Tax,Veterans' Exemption,11955.59
Beacon Falls,Property Tax,Disability Exemption,1798.78
Beacon Falls,Property Tax,Pequot Grants,29537.52
Beacon Falls,Property Tax,Grants For Municipal Projects,41202
Beacon Falls,Capital Projects/Transportation,LoCIP,38044
Beacon Falls,Capital Projects/Transportation,Town Aid Road,186864.2
Beacon Falls,Capital Projects/Transportation,Distressed Municipalities,9857.36
Beacon Falls,Capital Projects/Transportation,Urban Action Grants,0
Prospect,Education,Education Cost Sharing,5393363
Prospect,Education,Youth Service Bureaus,18937
Prospect,Property Tax,Elderly Circuit Breaker,78353.44
Prospect,Property Tax,State Property PILOT,1876.84
Prospect,Property Tax,Veterans' Exemption,18808.55
Prospect,Property Tax,Disability Exemption,1039.09
Prospect,Property Tax,Pequot Grants,33489.32
Prospect,Property Tax,Grants For Municipal Projects,66721
Prospect,Capital Projects/Transportation,LoCIP,64423
Prospect,Capital Projects/Transportation,Town Aid Road,238311.73
Old Lyme,Education,Education Cost Sharing,605586
Old Lyme,Education,Youth Service Bureaus,25154
Old Lyme,Property Tax,Colleges &amp; Hospitals PILOT,34021.88
Old Lyme,Property Tax,Elderly Circuit Breaker,35323.28
Old Lyme,Property Tax,State Property PILOT,28161.39
Old Lyme,Property Tax,Veterans' Exemption,3859.36
Old Lyme,Property Tax,Disability Exemption,187.05
Old Lyme,Property Tax,Pequot Grants,13598.41
Old Lyme,Property Tax,Grants For Municipal Projects,1776
Old Lyme,Capital Projects/Transportation,LoCIP,49181
Old Lyme,Capital Projects/Transportation,Town Aid Road,229999.5
Morris,Education,Education Cost Sharing,657975
Morris,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),35000
Morris,Capital Projects/Transportation,LoCIP,21876
Morris,Capital Projects/Transportation,Town Aid Road,177386.89
Morris,Property Tax,Elderly Circuit Breaker,12541.28
Morris,Property Tax,State Property PILOT,16505.72
Morris,Property Tax,Veterans' Exemption,248.39
Morris,Property Tax,Disability Exemption,171.68
Morris,Property Tax,Pequot Grants,9385.58
Morris,Property Tax,Grants For Municipal Projects,3318
Middlefield,Education,Education Cost Sharing,2138129
Middlefield,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),131000
Middlefield,Capital Projects/Transportation,LoCIP,32693
Middlefield,Capital Projects/Transportation,Town Aid Road,197600.02
Middlefield,Capital Projects/Transportation,Urban Action Grants,0
Middlefield,Capital Projects/Transportation,Bus Operations,26632
Middlefield,Property Tax,Elderly Circuit Breaker,39901.85
Middlefield,Property Tax,State Property PILOT,9362.03
Middlefield,Property Tax,Veterans' Exemption,9516.86
Middlefield,Property Tax,Disability Exemption,556.45
Middlefield,Property Tax,Pequot Grants,18711.68
Middlefield,Property Tax,Grants For Municipal Projects,233857
Middlebury,Education,Education Cost Sharing,725879
Middlebury,Property Tax,Elderly Circuit Breaker,38996.2
Middlebury,Property Tax,State Property PILOT,20703.25
Middlebury,Property Tax,Veterans' Exemption,4750.6
Middlebury,Property Tax,Disability Exemption,940.82
Middlebury,Property Tax,Pequot Grants,16449.35
Middlebury,Property Tax,Grants For Municipal Projects,79250
Middlebury,Capital Projects/Transportation,LoCIP,55001
Middlebury,Capital Projects/Transportation,Town Aid Road,222998.45
Lyme,Education,Education Cost Sharing,145556
Lyme,Property Tax,Colleges &amp; Hospitals PILOT,181.86
Lyme,Property Tax,Elderly Circuit Breaker,22014.8
Lyme,Property Tax,State Property PILOT,15463.47
Lyme,Property Tax,Veterans' Exemption,334.63
Lyme,Property Tax,Pequot Grants,6940.45
Lyme,Property Tax,Grants For Municipal Projects,0
Lyme,Capital Projects/Transportation,LoCIP,25854
Lyme,Capital Projects/Transportation,Town Aid Road,180231.44
Killingworth,Education,Education Cost Sharing,2241883
Killingworth,Education,Youth Service Bureaus,18937
Killingworth,Property Tax,Elderly Circuit Breaker,37953.24
Killingworth,Property Tax,State Property PILOT,97566.89
Killingworth,Property Tax,Veterans' Exemption,5714.97
Killingworth,Property Tax,Disability Exemption,367.41
Killingworth,Property Tax,Pequot Grants,16757.45
Killingworth,Property Tax,Grants For Municipal Projects,4842
Killingworth,Capital Projects/Transportation,LoCIP,54412
Killingworth,Capital Projects/Transportation,Town Aid Road,253102.29
Killingworth,Capital Projects/Transportation,Urban Action Grants,0
Harwinton,Education,Education Cost Sharing,2767961
Harwinton,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),325000
Harwinton,Capital Projects/Transportation,LoCIP,51001
Harwinton,Capital Projects/Transportation,Town Aid Road,227760.6
Harwinton,Capital Projects/Transportation,Urban Action Grants,0
Harwinton,Property Tax,Elderly Circuit Breaker,38418.02
Harwinton,Property Tax,State Property PILOT,9236.55
Harwinton,Property Tax,Veterans' Exemption,1575.81
Harwinton,Property Tax,Disability Exemption,390.14
Harwinton,Property Tax,Pequot Grants,16720.91
Harwinton,Property Tax,Grants For Municipal Projects,20226
Haddam,Education,Education Cost Sharing,1802413
Haddam,Property Tax,Elderly Circuit Breaker,47263.79
Haddam,Property Tax,State Property PILOT,63832.08
Haddam,Property Tax,Veterans' Exemption,5477.82
